# soak: 480 minutes, 2 processes, pool 10, 16 connections
# route /users/42, answering: {"email":"u42@example.com","id":42,"name":"user42"}
# 2026-08-16T01:45:03Z  machine Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz

min         req/s       p50       p99   rss_mb     fds     pg errors
5         7244.27    2.33ms    3.79ms       28      59     16      0
10        7183.53    2.22ms    3.21ms       28      65     18      0
15        7178.50    2.16ms    3.00ms       28      68     19      0
20        7168.46    2.16ms    3.01ms       28      68     19      0
25        7175.23    2.22ms    3.22ms       28      68     19      0
30        7229.24    2.35ms    3.80ms       28      68     19      0
35        7214.86    2.27ms    3.51ms       28      68     19      0
40        7208.29    2.28ms    3.48ms       28      68     19      0
45        7178.84    2.22ms    3.23ms       28      68     19      0
50        5660.29    3.16ms    6.17ms       28      80     21      0
55        7171.76    2.23ms    3.24ms       28      80     21      0
60        7221.00    2.62ms    4.09ms       28      82     21      0
65        7162.85    2.16ms    3.01ms       28      82     21      0
70        7158.96    2.16ms    3.01ms       28      82     21      0
75        7216.57    2.42ms    3.76ms       28      82     21      0
80        7198.95    2.28ms    3.50ms       28      82     21      0
85        7228.43    2.36ms    3.79ms       28      82     21      0
90        7158.97    2.16ms    3.01ms       28      82     21      0
95        7216.34    2.41ms    3.77ms       28      82     21      0
100       7217.35    2.41ms    3.78ms       28      82     21      0
105       7227.69    2.40ms    3.77ms       28      82     21      0
110       7223.12    2.41ms    3.77ms       28      82     21      0
115       7169.55    2.22ms    3.22ms       28      82     21      0
120       7157.10    2.16ms    3.02ms       28      82     21      0
125       7201.14    2.28ms    3.49ms       28      82     21      0
130       7165.94    2.22ms    3.21ms       28      82     21      0
135       7199.50    2.28ms    3.48ms       28      82     21      0
140       7166.57    2.16ms    3.00ms       28      82     21      0
145       7174.12    2.22ms    3.19ms       28      82     21      0
150       7163.72    2.16ms    3.00ms       28      82     21      0
155       7192.05    2.29ms    3.48ms       28      82     21      0
160       7172.23    2.22ms    3.19ms       28      82     21      0
165       7166.32    2.22ms    3.19ms       28      82     21      0
170       7152.76    2.23ms    3.23ms       28      82     21      0
175       7168.66    2.16ms    3.00ms       28      82     21      0
180       7205.37    2.28ms    3.48ms       28      82     21      0
185       7196.11    2.28ms    3.50ms       28      82     21      0
190       7163.59    2.16ms    3.00ms       28      82     21      0
195       7167.31    2.16ms    3.00ms       28      82     21      0
200       7162.94    2.22ms    3.20ms       28      82     21      0
205       7219.50    2.27ms    3.49ms       28      82     21      0
210       7206.82    2.27ms    3.50ms       28      82     21      0
215       7163.81    2.16ms    3.01ms       28      82     21      0
220       7204.61    2.28ms    3.48ms       28      82     21      0
225       7209.75    2.28ms    3.47ms       28      82     21      0
230       7179.02    2.22ms    3.21ms       28      82     21      0
235       5334.38    3.86ms    5.93ms       28      84     21      0
240       7182.72    2.22ms    3.22ms       28      84     21      0
245       7177.32    2.22ms    3.21ms       28      84     21      0
250       7170.69    2.22ms    3.21ms       28      84     21      0
255       7174.01    2.22ms    3.21ms       28      84     21      0
260       7204.54    2.28ms    3.48ms       28      84     21      0
265       7170.04    2.22ms    3.21ms       28      84     21      0
270       6905.89    2.29ms    3.61ms       28      84     21      0
275       7155.67    2.22ms    3.22ms       28      84     21      0
280       7210.58    2.28ms    3.45ms       28      84     21      0
285       7172.85    2.23ms    3.23ms       28      84     21      0
290       7172.07    2.22ms    3.19ms       28      84     21      0
295       7179.25    2.23ms    3.22ms       28      84     21      0
300       7218.60    2.64ms    4.07ms       28      84     21      0
305       7172.94    2.16ms    3.00ms       28      84     21      0
310       7178.08    2.22ms    3.21ms       28      84     21      0
315       7175.31    2.90ms    4.37ms       28      84     21      0
320       7169.38    2.22ms    3.20ms       28      84     21      0
325       7181.58    2.16ms    2.99ms       28      84     21      0
330       7184.76    2.22ms    3.22ms       28      84     21      0
335       7179.79    2.21ms    3.19ms       28      84     21      0
340       7228.56    2.37ms    3.79ms       28      84     21      0
345       7177.09    2.22ms    3.21ms       28      84     21      0
350       7218.88    2.42ms    3.77ms       28      84     21      0
355       7172.56    2.16ms    3.00ms       28      84     21      0
360       7178.24    2.22ms    3.20ms       28      84     21      0
365       7233.55    2.40ms    3.76ms       28      84     21      0
370       7214.11    2.28ms    3.47ms       28      84     21      0
375       7230.58    2.40ms    3.77ms       28      84     21      0
380       7165.21    2.90ms    4.38ms       28      84     21      0
385       7205.51    2.28ms    3.48ms       28      84     21      0
390       7178.19    2.22ms    3.21ms       28      84     21      0
395       7183.11    2.22ms    3.21ms       28      84     21      0
400       7227.72    2.40ms    3.77ms       28      84     21      0
405       7180.41    2.22ms    3.21ms       28      84     21      0
410       7227.77    2.63ms    4.06ms       28      84     21      0
415       7163.16    2.22ms    3.22ms       28      84     21      0
420       7218.34    2.27ms    3.49ms       28      84     21      0
425       7177.48    2.16ms    2.99ms       28      84     21      0
430       7208.45    2.28ms    3.46ms       28      84     21      0
435       7178.10    2.16ms    2.99ms       28      84     21      0
440       7179.32    2.22ms    3.20ms       28      84     21      0
445       7171.71    2.23ms    3.23ms       28      84     21      0
450       7221.57    2.62ms    4.08ms       28      84     21      0
455       7177.99    2.22ms    3.19ms       28      84     21      0
460       7208.35    2.64ms    4.08ms       28      84     21      0
465       7174.32    2.22ms    3.21ms       28      84     21      0
470       7222.64    2.38ms    3.79ms       28      84     21      0
475       7229.13    2.37ms    3.79ms       28      84     21      0
480       7166.82    2.16ms    3.01ms       28      84     21      0
