# soak: 45 minutes, 2 processes, pool 10, 16 connections
# route /users/42, answering: {"email":"u42@example.com","id":42,"name":"user42"}
# 2026-08-15T19:52:29Z  machine Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz

min         req/s       p50       p99   rss_mb     fds     pg errors
1         7373.63    2.15ms    3.12ms       26      60     17      0
2         7361.75    2.16ms    3.13ms       26      60     17      0
3         7401.00    2.21ms    3.42ms       27      69     20      0
4         7366.76    2.17ms    3.17ms       27      69     20      0
5         7399.61    2.20ms    3.43ms       27      69     20      0
6         7357.89    2.10ms    2.94ms       27      69     20      0
7         7381.00    2.22ms    3.42ms       27      72     21      0
8         7348.16    2.16ms    3.18ms       27      72     21      0
9         7408.77    2.33ms    3.69ms       27      74     21      0
10        7381.50    2.22ms    3.42ms       27      74     21      0
11        7365.66    2.16ms    3.13ms       27      74     21      0
12        7380.85    2.22ms    3.41ms       27      74     21      0
13        7359.19    2.80ms    4.27ms       27      78     21      0
14        7396.39    2.21ms    3.41ms       27      78     21      0
15        7348.90    2.17ms    3.16ms       27      78     21      0
16        7412.26    2.32ms    3.69ms       27      78     21      0
17        7368.77    2.59ms    3.97ms       27      80     21      0
18        7359.19    2.58ms    4.04ms       27      80     21      0
19        7365.74    2.10ms    2.95ms       27      80     21      0
20        7405.06    2.35ms    3.66ms       27      80     21      0
21        7388.35    2.21ms    3.43ms       27      80     21      0
22        7391.56    2.22ms    3.37ms       27      80     21      0
23        7396.29    2.21ms    3.43ms       27      80     21      0
24        7397.51    2.57ms    3.96ms       27      80     21      0
25        7407.10    2.32ms    3.70ms       27      80     21      0
26        7408.88    2.33ms    3.69ms       27      80     21      0
27        7394.86    2.22ms    3.41ms       27      80     21      0
28        7362.43    2.16ms    3.14ms       27      80     21      0
29        7362.15    2.16ms    3.13ms       27      80     21      0
30        7365.15    2.16ms    3.13ms       27      80     21      0
31        7366.18    2.10ms    2.93ms       27      80     21      0
32        7392.13    2.56ms    4.00ms       27      80     21      0
33        7359.29    2.16ms    3.14ms       27      80     21      0
34        7359.35    2.10ms    2.93ms       27      80     21      0
35        7393.13    2.56ms    3.99ms       27      80     21      0
36        7377.96    2.36ms    3.71ms       27      80     21      0
37        7392.74    2.21ms    3.40ms       27      80     21      0
38        7356.88    2.10ms    2.96ms       27      80     21      0
39        7398.04    2.35ms    3.68ms       27      80     21      0
40        7405.00    2.35ms    3.66ms       27      80     21      0
41        7387.13    2.22ms    3.39ms       27      80     21      0
42        7361.48    2.17ms    3.16ms       27      80     21      0
43        7345.10    2.17ms    3.20ms       27      80     21      0
44        7369.01    2.16ms    3.14ms       27      80     21      0
45        7398.22    2.56ms    3.98ms       27      80     21      0
